id;name;country;city;district;neighbourhood;street;latitude;logitude
34-052;Büyükada Mezarlığı;Türkiye;İstanbul;Adalar;Maden Mahallesi;Çarkıfelek Caddesi;40.8670326916208;29.129033270431975
34-066;Heybeliada Mezarlığı;Türkiye;İstanbul;Adalar;Heybeliada Mahallesi;;40.871601568814576;29.095486925751835
34-025;İçerenköy Mezarlığı;Türkiye;İstanbul;Ataşehir;İçerenköy Mahallesi;Harman Sokak;40.96977110906723;29.10931635206137
34-055;Çobançeşme Mezarlığı;Türkiye;İstanbul;Bahçelievler;Çobançeşme Mahallesi;Mithatpaşa Caddesi;40.99696039984438;28.82715163379854
34-072;Merter Mezarlığı;Türkiye;İstanbul;Bahçelievler;Bahçelievler Mahallesi;Yaşar Erol Akansel Sokak;41.0016745646398;28.882651644322443
34-083;Zuhurat Baba Mezarlığı;Türkiye;İstanbul;Bakırköy;Zuhuratbaba Mahallesi;Zuhuratbaba Caddesi;40.98177003888793;28.87236446102429
34-077;Ortaköy Mezarlığı;Türkiye;İstanbul;Beşiktaş;Levazım Mahallesi;Çayır Sokak;41.05953144020245;29.018731005123158
34-068;Maçka Mezarlığı;Türkiye;İstanbul;Beşiktaş;Vişnezade Mahallesi;Bayıldım Caddesi;41.04345313506623;28.99569623152807
34-091;Ulus Mezarlığı;Türkiye;İstanbul;Beşiktaş;Kültür Mahallesi;Körkadı Sokak;41.071085837235835;29.03302945677249
34-023;Kanlıca Mezarlığı;Türkiye;İstanbul;Beykoz;Kanlıca Mahallesi;Barış Manço Caddesi;41.097487105113366;29.06579344906698
34-033;Çavuşbaşı Mezarlığı;Türkiye;İstanbul;Beykoz;Çiftlik Mahallesi;Gazi Mustafa Kemal Bulvarı;41.080289281077434;29.13616148145766
34-056;Kulaksız Mezarlığı;Türkiye;İstanbul;Beyoğlu;Kulaksız Mahallesi;Kulaksız Caddesi;41.04061608767424;28.961440347951125
34-024;Zindan Arkası Mezarlığı;Türkiye;İstanbul;Beyoğlu;Kulaksız Mahallesi;Hasbahçe Sokak;41.03794818642137;28.959256177303406
34-031;Büyükçekmece Mezarlığı;Türkiye;İstanbul;Büyükçekmece;Ulus Mahallesi;Çatalca Yolu Caddesi;41.038963499999994;28.549668511435094
34-026;Esenyurt Mezarlığı;Türkiye;İstanbul;Esenyurt;Fatih Mahallesi;Esenyurt Kavşağı;41.03190836001923;28.681231984785093
34-042;Gülbahçe Mezarlığı;Türkiye;İstanbul;Esenyurt;Orhan Gazi Mahallesi;Sanayi Caddesi;41.08561451843021;28.639191572098706
34-076;İstiklâl Mezarlığı;Türkiye;İstanbul;Esenyurt;Selahaddin Eyyubi Mahallesi;2642. Sokak;41.04842827736853;28.652343910438027
34-081;Eyüp Sultan Mezarlığı;Türkiye;İstanbul;Eyüpsultan;Merkez Mahallesi;Silahtarağa Caddesi;41.053410238757735;28.93444354153051
34-001;Karlıtepe Mezarlığı;Türkiye;İstanbul;Gaziosmanpaşa;Yıldıztabya Mahallesi;Karanfil Sokak;41.06483713805929;28.922966148127184
34-047;Güngören Mezarlığı;Türkiye;İstanbul;Güngören;Güneştepe Mahallesi;Bağlar Caddesi;41.027863220019256;28.8699283195769
34-039;Sahrayıcedit Mezarlığı;Türkiye;İstanbul;Kadıköy;Sahrayıcedit Mahallesi;Orta Sokak;40.98389449628905;29.07696343280928
34-046;Merdivenköy Mezarlığı;Türkiye;İstanbul;Kadıköy;Merdivenköy Mahallesi;Ayışığı Sokak;40.98946773080454;29.075504499451654
34-019;Sanayi Mezarlığı;Türkiye;İstanbul;Kağıthane;Şirintepe Mahallesi;Armağan Sokak;41.088659421904325;28.99606569487241
34-029;Hasdal Mezarlığı;Türkiye;İstanbul;Kağıthane;Hamidiye Mahallesi;Selvi Caddesi;41.10215738692276;28.95711322244491
34-053;Kurfalı Mezarlığı;Türkiye;İstanbul;Kartal;Hürriyet Mahallesi;Adnan Kahveci Caddesi;40.90063987731505;29.227225127638853
34-082;Soğanlık Mezarlığı;Türkiye;İstanbul;Kartal;Gümüşpınar Mahallesi;Atatürk Caddesi;40.917179608882684;29.210356542558713
34-030;Yakacık Mezarlığı;Türkiye;İstanbul;Kartal;Yakacık Çarşı Mahallesi;Havuz Sokak;40.91576516932655;29.223453807287196
34-004;Başıbüyük Mezarlığı;Türkiye;İstanbul;Maltepe;Başıbüyük Mahallesi;Mezarlık Caddesi;40.958987614891456;29.140727118587517
34-007;Küçükyalı Mezarlığı;Türkiye;İstanbul;Maltepe;Aydınevler Mahallesi;İnönü Caddesi;40.958326400000004;29.11459793799266
34-011;Maltepe Mezarlığı;Türkiye;İstanbul;Maltepe;Feyzullah Mahallesi;Sevinç Sokak;40.93246041220567;29.125624526915527
34-099;Kurtköy Mezarlığı;Türkiye;İstanbul;Pendik;Sanayi Mahallesi;Uran Sokak;40.90973632099802;29.306555253511945
34-050;Şeyhli Mezarlığı;Türkiye;İstanbul;Pendik;Şeyhli Mahallesi;Nur Sokağı;40.90554394757928;29.281282208342333
34-073;Veysel Karani Mezarlığı;Türkiye;İstanbul;Sancaktepe;Veysel Karani Mahallesi;Aytemur Caddesi;40.96171247458985;29.236046996176672
34-034;Aşiyan Mezarlığı;Türkiye;İstanbul;Beşiktaş;Bebek Mahallesi;Aşiyan Yolu;41.0828483719602;29.055560587741525
34-059;Kilyos Mezarlığı;Türkiye;İstanbul;Sarıyer;Uskumruköy Mahallesi;Kilyos Caddesi;41.23293614024097;29.03938021371193
34-036;Ayazağa Mezarlığı;Türkiye;İstanbul;Sarıyer;Ayazağa Mahallesi;208. Sokak;41.1222263520177;28.99186299322619
34-016;İstinye Mezarlığı;Türkiye;İstanbul;Sarıyer;İstinye Mahallesi;Nuri Paşa Caddesi;41.117424684248206;29.050411240744417
34-032;Şile Mezarlığı;Türkiye;İstanbul;Şile;Bucaklı Mahallesi;Miray Sokak;41.11548019494015;29.891611472738898
34-058;Feriköy Mezarlığı;Türkiye;İstanbul;Şişli;Paşa Mahallesi;Darülaceze Yolu Caddesi;41.0514001334927;28.975159443828975
34-009;Ateştuğla Mezarlığı;Türkiye;İstanbul;Bağcılar;Mahmutbey Mahallesi;Halkalı Caddesi;41.04756472426088;28.82911775705652
34-070;Kirazlı Mezarlığı;Türkiye;İstanbul;Bağcılar;Kirazlı Mahallesi;Mahmutbey Caddesi;41.03199429133679;28.83433496413488
34-098;Kemer Mezarlığı;Türkiye;İstanbul;Esenler;Kemer Mahallesi;Mustafa Dündar Caddesi;41.05070931039382;28.884450687974667
34-065;Zincirlikuyu Mezarlığı;Türkiye;İstanbul;Şişli;Esentepe Mahallesi;Zincirlidere Caddesi;41.07374687893742;29.007856278111497
34-020;Tuzla Mezarlığı;Türkiye;İstanbul;Tuzla;Cami Mahallesi;Şehitler Caddesi;40.813454211061426;29.30987617750371
34-008;Hekimbaşı Mezarlığı;Türkiye;İstanbul;Ümraniye;Hekimbaşı Mahallesi;Yıldıztepe Caddesi;41.058398144252045;29.093621988691517
34-074;Ihlamurkuyu Mezarlığı;Türkiye;İstanbul;Ümraniye;Cemil Meriç Mahallesi;;41.033258700000005;29.14560388029386
34-017;Ümraniye Kocatepe Mezarlığı;Türkiye;İstanbul;Ümraniye;İnkılap Mahallesi;Küçüksu Caddesi;41.04530367304817;29.11655461094737
34-063;Bülbüldere Mezarlığı;Türkiye;İstanbul;Üsküdar;Selami Ali Mahallesi;Selanikliler Sokak;41.02605953189076;29.02493411632289
